,pct_missing,nobs,r2,r2_adj,bic,r2_pred,mse_pred,mape_pred,const_ci_rng,const_estimate,const_in_target,const_true_beta,x1_ci_rng,x1_estimate,x1_in_target,x1_true_beta,x1:x2_ci_rng,x1:x2_estimate,x1:x2_in_target,x1:x2_true_beta,x2_ci_rng,x2_estimate,x2_in_target,x2_true_beta,action_type,beta_sigma,sample_size,beta_x2/beta_x1,beta_x1:x2/beta_x1,_beta_sigma,_sample_size,_beta_x2/beta_x1,_beta_x1:x2/beta_x1
2,0.2,50.0,0.8128122339685135,0.8006043361838514,202.50310791985737,0.7718935086563795,2.4355138503006732,9.029926756661709,3.6055806996649302,12.928763077538244,0,10,5.248826495511931,5.288338990033237,0,10,6.873098929476825,9.820401023532908,0,1,4.511401492906057,-4.3407555973278065,0,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
3,0.30000000000000004,50.0,0.7733855807525951,0.7586063794973296,212.0599964248459,0.72338076734352,2.9534888219359003,9.932998161871371,4.297747891865896,13.831165809170407,0,10,5.865260465323633,3.4435342288681667,0,10,7.108374923031242,12.053286900167981,0,1,4.927142543732867,-5.437952384347837,0,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
4,0.4,50.0,0.7668367613799751,0.751630463209104,213.4844376042242,0.6997900982758201,3.2053685510650984,10.34113341626496,4.260863911537573,14.171134229536376,0,10,5.939373344239883,3.0009688597996806,0,10,6.652333002804372,12.844256201054987,0,1,4.627999352196368,-5.982980646810244,0,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
5,0.5,50.0,0.7933734934763539,0.7798978517465509,207.4431398050128,0.7104312013558638,3.0917525211955983,10.367340492386031,3.565553187463877,13.63338681583797,0,10,5.429734317844398,4.386331129765462,0,10,5.436181616123612,12.904961865526595,0,1,4.082901267781116,-5.738535419874824,0,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
6,0.6000000000000001,50.0,0.7628631523430216,0.747397705756697,214.32936698268952,0.7057396921712076,3.1418441934261367,10.230459727103502,4.936543890095365,14.037415376942626,0,10,6.767449531215828,3.0525385898227055,0,10,5.926721846859495,13.665494292324196,0,1,4.337843054902226,-6.403147573349111,0,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
7,0.7000000000000001,50.0,0.7992285709480109,0.7861347820967942,206.0058520490738,0.6673809627888401,3.551403851901434,8.875577396317317,4.641403520457011,12.380025585641356,0,10,6.927928296165078,6.017343618048594,0,10,5.116145865898133,13.25335464667807,0,1,3.5443397923242275,-7.4356010260707865,0,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
0,0.0,100.0,0.9178231779060092,0.915255152215572,287.4105350326882,0.9077314270340073,0.8415962674565339,5.010646390854551,1.5621828227966041,10.572653072608366,1,10,2.5628836217715225,9.438675322356572,1,10,4.85992362210618,2.0058838210337147,1,1,2.815428532774452,0.24032586804236544,1,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
1,0.1,100.0,0.8845961512092779,0.8809897809345679,321.36697629423475,0.8944704160357764,0.962552049041284,5.524360213967292,1.781712493516185,11.277193117974964,0,10,2.911666033763872,8.186072736314618,0,10,5.321471931594267,4.9241384739825795,0,1,3.1381162415703727,-1.2613928242726655,0,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
2,0.2,100.0,0.8294917173987605,0.8241633335674717,360.401593153522,0.8790580307555929,1.103130856184916,6.017244490245214,2.174697352332192,12.144703638107575,0,10,3.3775551626793536,6.210802746236684,0,10,5.885146642792115,8.813929860869388,0,1,3.609215582728334,-3.1157628230895638,0,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
3,0.30000000000000004,100.0,0.7649734797521375,0.7576289009943917,392.4930417580548,0.8074598843069152,1.756188889608953,7.662727108056363,2.562847997394531,13.641587470444222,0,10,3.82227501028974,3.3779492609032182,0,10,5.747557194644825,13.981546011852277,0,1,3.783108691351593,-5.747732858925305,0,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
